scenario,model,seed,features,train_rows,test_rows,accuracy,recall,precision,f1,fit_seconds,predict_seconds
all_features,logistic_regression,41,22,13607,3402,0.6810699588477366,0.8086705202312139,0.6497909893172318,0.7205768735513778,0.03645787500136066,0.0027449170011095703
all_features,random_forest,41,22,13607,3402,0.8985890652557319,0.9254335260115607,0.8811227297743534,0.9027347053848322,0.4295582920021843,0.02930158299568575
all_features,adaboost,41,22,13607,3402,0.8574368018812464,0.8809248554913295,0.8452579034941764,0.8627228983866403,1.9862189999985276,0.02695254099671729
all_features,xgboost,41,22,13607,3402,0.8894767783656673,0.9086705202312139,0.8782122905027933,0.8931818181818182,0.7241577500099083,0.008258750007371418
all_features,gradient_boosting,41,22,13607,3402,0.8759553203997649,0.8965317919075144,0.8645484949832776,0.880249716231555,4.815247624996118,0.00900295800238382
five_features,logistic_regression,41,5,13607,3402,0.6643151087595532,0.8849710982658959,0.6188358932902183,0.7283539486203615,0.0060952080093557015,0.0005903339915676042
five_features,random_forest,41,5,13607,3402,0.8709582598471487,0.8872832369942196,0.8628442945474986,0.8748931319464235,0.28847216699796263,0.02555887500056997
five_features,adaboost,41,5,13607,3402,0.8524397413286302,0.8705202312138728,0.844170403587444,0.8571428571428571,0.6009730829973705,0.01913158300158102
five_features,xgboost,41,5,13607,3402,0.8700764256319812,0.8884393063583815,0.8605823068309071,0.8742889647326507,0.38815949999843724,0.00260829200851731
five_features,gradient_boosting,41,5,13607,3402,0.8694885361552028,0.8838150289017341,0.8628668171557562,0.8732153055396916,1.2190662500070175,0.007085167002514936
